No.,Name,Date,Place,Location
138,안나영 : From Eden,"
2020.05.06. ~ 2020.05.12.
","
갤러리 일호
",https://map.naver.com/v5/entry/place/31514730
139,라 포이에틱,"
2020.05.09. ~ 2020.05.16.
","
이정아 갤러리
",https://map.naver.com/v5/entry/place/36734407
140,임승현 : 슬기로운 예술생활,"
2020.05.20. ~ 2020.06.15.
","
갤러리써포먼트
",https://map.naver.com/v5/entry/place/33418597
141,현대 HYUNDAI 50,"
2020.05.12. ~ 2020.05.31.
","
갤러리 현대
",https://map.naver.com/v5/entry/place/11620408
142,현지너리 : BBBBBirds...!,"
2020.05.06. ~ 2020.06.03.
","
아워 캔버스
",https://map.naver.com/v5/entry/place/1205225594
143,"DMZ 景, 철원","
2020.05.02. ~ 2020.05.10.
","
연남장
",https://map.naver.com/v5/entry/place/1760425180
144,이준원 : 거인의 발목들,"
2020.05.19. ~ 2020.05.31.
","
비움갤러리
",https://map.naver.com/v5/entry/place/1443179044
145,10인의 도시이야기 처음엔 그냥 걸었어,"
2020.05.05. ~ 2020.05.17.
","
비움갤러리
",https://map.naver.com/v5/entry/place/1443179044
146,2020 중앙대학교 산업-시각 연합전시 파이전,"
2020.07.07. ~ 2020.07.13.
","
홍익대학교 대학로 아트센터
",https://map.naver.com/v5/entry/place/31222671
147,조형아트서울 PLAS - CONTEMPORARY ART SHOW,"
2020.06.17. ~ 2020.06.21.
","
코엑스
",https://map.naver.com/v5/entry/place/11576171
